SensorBelt_detectionDistance (Meters),robot1_jointAngle1 (Degrees),robot1_jointAngle2 (Degrees),robot1_jointAngle3 (Degrees),robot1_jointAngle4 (Degrees),robot1_jointAngle5 (Degrees),robot1_jointAngle6 (Degrees),robot1_jointAngle7 (Degrees),robot2_jointAngle1 (Degrees),robot2_jointAngle2 (Degrees),robot2_jointAngle3 (Degrees),robot2_jointAngle4 (Degrees),robot2_jointAngle5 (Degrees),robot2_jointAngle6 (Degrees),robot2_jointAngle7 (Degrees),robot1_joint1_velocity (Degrees/Seconds),robot1_joint2_velocity (Degrees/Seconds),robot1_joint3_velocity (Degrees/Seconds),robot1_joint4_velocity (Degrees/Seconds),robot1_joint5_velocity (Degrees/Seconds),robot1_joint6_velocity (Degrees/Seconds),robot1_joint7_velocity (Degrees/Seconds),robot2_joint1_velocity (Degrees/Seconds),robot2_joint2_velocity (Degrees/Seconds),robot2_joint3_velocity (Degrees/Seconds),robot2_joint4_velocity (Degrees/Seconds),robot2_joint5_velocity (Degrees/Seconds),robot2_joint6_velocity (Degrees/Seconds),robot2_joint7_velocity (Degrees/Seconds),beltSpeed (Centimeters/Second),torque (Newtonmeter),sensorShelf_detectionDistance (Meters),powerConsumptionGripper (Watt)
100.0,25.58,-56.539,100.11,-43.003,-7.6919,24.364,24.364,24.88,-20.358,46.673,-56.713,-34.278,41.502,41.502,14.542,-15.663,15.545,17.394,-14.761,-5.968,-5.968,13.126,16.683,-11.469,-18.936,-7.1133,10.632,10.632,0.8,1,100,0
100.0,26.264,-57.344,100.9,-42.2,-8.351,24.096,24.096,25.532,-19.521,46.09,-57.639,-34.658,42.042,42.042,13.67,-16.099,15.764,16.06,-13.181,-5.3616,-5.3616,13.043,16.753,-11.647,-18.524,-7.5996,10.799,10.799,0.8,1,100,0
100.0,26.907,-58.168,101.7,-41.455,-8.9391,23.855,23.855,26.178,-18.68,45.498,-58.535,-35.058,42.584,42.584,12.859,-16.482,15.948,14.883,-11.763,-4.8135,-4.8135,12.921,16.814,-11.842,-17.921,-8.004,10.831,10.831,0.8,1,100,0
100.0,27.514,-59.008,102.5,-40.765,-9.467,23.641,23.641,26.816,-17.834,44.897,-59.399,-35.471,43.123,43.123,12.137,-16.79,16.047,13.812,-10.558,-4.2882,-4.2882,12.744,16.925,-12.031,-17.277,-8.2645,10.785,10.785,0.8,1,100,0
100.0,28.091,-59.858,103.29,-40.13,-9.9483,23.456,23.456,27.44,-16.972,44.288,-60.243,-35.885,43.663,43.663,11.54,-17.009,15.935,12.694,-9.6268,-3.693,-3.693,12.481,17.231,-12.18,-16.88,-8.284,10.792,10.792,0.8,1,100,0
100.0,28.641,-60.719,104.1,-39.537,-10.384,23.293,23.293,28.054,-16.11,43.67,-61.044,-36.307,44.192,44.192,11.011,-17.224,16.039,11.857,-8.7107,-3.2631,-3.2631,12.279,17.253,-12.364,-16.019,-8.4313,10.581,10.581,0.8,1,100,0
100.0,29.167,-61.589,104.9,-38.979,-10.782,23.148,23.148,28.656,-15.247,43.041,-61.797,-36.732,44.705,44.705,10.524,-17.389,16.14,11.173,-7.9573,-2.8998,-2.8998,12.047,17.259,-12.572,-15.068,-8.5066,10.267,10.267,0.8,1,100,0
100.0,29.672,-62.464,105.71,-38.449,-11.15,23.019,23.019,29.246,-14.384,42.402,-62.502,-37.158,45.199,45.199,10.098,-17.498,16.229,10.593,-7.3577,-2.5838,-2.5838,11.793,17.255,-12.787,-14.09,-8.5138,9.8887,9.8887,0.8,1,100,0
100.0,30.159,-63.342,106.53,-37.944,-11.494,22.904,22.904,29.822,-13.522,41.751,-63.157,-37.581,45.673,45.673,9.7336,-17.56,16.303,10.091,-6.8902,-2.3049,-2.3049,11.527,17.245,-13.004,-13.113,-8.4647,9.4714,9.4714,0.8,1,100,0
100.0,30.631,-64.221,107.34,-37.466,-11.822,22.803,22.803,30.384,-12.655,41.091,-63.772,-37.998,46.128,46.128,9.4361,-17.582,16.286,9.5663,-6.5659,-2.0073,-2.0073,11.23,17.331,-13.214,-12.301,-8.3268,9.094,9.094,0.8,1,100,0
100.0,31.09,-65.1,108.16,-37.009,-12.136,22.715,22.715,30.931,-11.79,40.419,-64.341,-38.408,46.561,46.561,9.182,-17.585,16.341,9.1417,-6.2802,-1.7716,-1.7716,10.959,17.311,-13.426,-11.38,-8.2102,8.6588,8.6588,0.8,1,100,0
100.0,31.538,-65.979,108.98,-36.571,-12.44,22.636,22.636,31.466,-10.925,39.737,-64.865,-38.812,46.971,46.971,8.954,-17.568,16.396,8.7661,-6.0639,-1.5654,-1.5654,10.686,17.288,-13.649,-10.475,-8.0724,8.2064,8.2064,0.8,1,100,0
100.0,31.975,-66.855,109.8,-36.15,-12.735,22.567,22.567,31.987,-10.062,39.043,-65.345,-39.208,47.359,47.359,8.7537,-17.535,16.449,8.4228,-5.9043,-1.3818,-1.3818,10.415,17.267,-13.876,-9.6024,-7.9225,7.7516,7.7516,0.8,1,100,0
100.0,32.404,-67.73,110.63,-35.744,-13.024,22.506,22.507,32.494,-9.1995,38.338,-65.784,-39.596,47.724,47.724,8.5777,-17.49,16.5,8.1037,-5.7879,-1.2177,-1.2177,10.15,17.247,-14.107,-8.7653,-7.7656,7.3016,7.3016,0.8,1,100,0
100.0,32.825,-68.602,111.46,-35.354,-13.309,22.453,22.453,32.989,-8.338,37.621,-66.182,-39.976,48.067,48.067,8.4216,-17.439,16.551,7.805,-5.7038,-1.0705,-1.0705,9.8919,17.229,-14.34,-7.9658,-7.606,6.8602,6.8602,0.8,1,100,0
100.0,33.239,-69.471,112.29,-34.978,-13.592,22.406,22.406,33.471,-7.4773,36.892,-66.542,-40.349,48.388,48.388,8.2813,-17.383,16.602,7.5239,-5.644,-0.93833,-0.93833,9.6409,17.214,-14.575,-7.2043,-7.4468,6.4314,6.4314,0.8,1,100,0
100.0,33.647,-70.337,113.12,-34.615,-13.872,22.365,22.365,33.941,-6.6173,36.152,-66.866,-40.713,48.689,48.689,8.1527,-17.326,16.655,7.2576,-5.6014,-0.82061,-0.82061,9.3979,17.2,-14.81,-6.4809,-7.2906,6.0157,6.0157,0.8,1,100,0
100.0,34.049,-71.201,113.95,-34.265,-14.15,22.329,22.329,34.399,-5.7579,35.399,-67.156,-41.07,48.97,48.97,8.0341,-17.269,16.711,7.0067,-5.571,-0.71628,-0.71628,9.163,17.188,-15.046,-5.7932,-7.1382,5.6144,5.6144,0.8,1,100,0
100.0,34.445,-72.061,114.79,-33.926,-14.428,22.298,22.298,34.846,-4.899,34.635,-67.413,-41.42,49.231,49.231,7.9231,-17.213,16.77,6.7712,-5.5489,-0.62438,-0.62438,8.9364,17.178,-15.282,-5.1404,-6.9906,5.2277,5.2277,0.8,1,100,0
100.0,34.836,-72.919,115.63,-33.599,-14.704,22.271,22.271,35.281,-4.0406,33.859,-67.639,-41.762,49.474,49.474,7.8174,-17.158,16.833,6.5504,-5.5328,-0.54495,-0.54495,8.7181,17.168,-15.518,-4.5206,-6.8488,4.8559,4.8559,0.8,1,100,0
100.0,35.221,-73.775,116.48,-33.281,-14.98,22.247,22.247,35.707,-3.1825,33.072,-67.836,-42.098,49.699,49.699,7.7165,-17.106,16.899,6.3441,-5.5203,-0.47671,-0.47668,8.5067,17.161,-15.752,-3.9338,-6.7126,4.4995,4.4995,0.8,1,100,0
100.0,35.602,-74.627,117.33,-32.974,-15.256,22.226,22.226,36.122,-2.3248,32.272,-68.004,-42.427,49.907,49.907,7.6192,-17.055,16.968,6.1528,-5.51,-0.41917,-0.41917,8.3035,17.155,-15.986,-3.3785,-6.5827,4.1576,4.1576,0.8,1,100,0
100.0,35.979,-75.478,118.18,-32.675,-15.531,22.207,22.207,36.527,-1.4674,31.461,-68.147,-42.75,50.098,50.098,7.5237,-17.007,17.043,5.9759,-5.5006,-0.37293,-0.37293,8.1076,17.148,-16.218,-2.8512,-6.4588,3.8298,3.8298,0.8,1,100,0
100.0,36.35,-76.326,119.04,-32.384,-15.805,22.19,22.191,36.923,-0.61022,30.639,-68.265,-43.067,50.274,50.274,7.4311,-16.961,17.121,5.8137,-5.4914,-0.33608,-0.33608,7.9181,17.144,-16.45,-2.3541,-6.3412,3.5163,3.5163,0.8,1,100,0
100.0,36.717,-77.171,119.9,-32.101,-16.08,22.175,22.175,37.31,0.24674,29.805,-68.359,-43.378,50.435,50.435,7.3393,-16.917,17.203,5.6666,-5.4822,-0.30958,-0.30958,7.735,17.139,-16.68,-1.8824,-6.2296,3.2162,3.2163,0.8,1,100,0
100.0,37.08,-78.015,120.76,-31.824,-16.353,22.16,22.16,37.688,1.1035,28.959,-68.431,-43.685,50.581,50.581,7.2496,-16.874,17.29,5.5335,-5.4722,-0.29172,-0.29172,7.559,17.136,-16.909,-1.4378,-6.1239,2.9293,2.9293,0.8,1,100,0
100.0,37.438,-78.857,121.63,-31.554,-16.626,22.146,22.146,38.057,1.9602,28.103,-68.482,-43.986,50.714,50.714,7.1602,-16.835,17.381,5.4142,-5.4615,-0.28308,-0.28308,7.3889,17.134,-17.136,-1.0176,-6.0247,2.6548,2.6548,0.8,1,100,0
100.0,37.791,-79.697,122.5,-31.288,-16.899,22.132,22.132,38.419,2.8168,27.235,-68.513,-44.282,50.834,50.834,7.0721,-16.797,17.476,5.3091,-5.4494,-0.28256,-0.28253,7.2244,17.132,-17.362,-0.62086,-5.9314,2.3922,2.3922,0.8,1,100,0
100.0,38.14,-80.535,123.38,-31.027,-17.171,22.118,22.118,38.772,3.6734,26.355,-68.525,-44.575,50.941,50.941,6.9844,-16.761,17.576,5.217,-5.4366,-0.2896,-0.28957,7.0654,17.132,-17.588,-0.24712,-5.844,2.1415,2.1415,0.8,1,100,0
100.0,38.468,-81.321,124.29,-30.707,-17.416,22.064,22.064,39.109,4.3926,25.496,-68.41,-44.854,50.981,50.981,6.5442,-15.731,18.213,6.4154,-4.9064,-1.0689,-1.0689,6.7442,14.384,-17.183,2.3102,-5.5957,0.79551,0.79551,0.8,1,100,0
100.0,38.748,-81.982,125.25,-30.251,-17.619,21.934,21.934,39.413,4.8478,24.68,-68.067,-45.101,50.898,50.898,5.6163,-13.206,19.057,9.1112,-4.0681,-2.6066,-2.6066,6.0772,9.104,-16.323,6.8501,-4.9421,-1.6509,-1.6509,0.8,1,100,0
100.0,39.005,-82.561,126.17,-29.75,-17.834,21.788,21.788,39.685,5.2777,23.845,-67.692,-45.317,50.785,50.785,5.1386,-11.582,18.551,10.02,-4.2946,-2.9234,-2.9234,5.4484,8.597,-16.698,7.4974,-4.3012,-2.2682,-2.2682,0.8,1,100,0
100.0,39.256,-83.084,127.08,-29.235,-18.055,21.634,21.634,39.94,5.7013,22.998,-67.311,-45.52,50.662,50.662,5.0172,-10.471,18.105,10.308,-4.4168,-3.0814,-3.0814,5.0825,8.4728,-16.933,7.6237,-4.0758,-2.4561,-2.4561,0.8,1,100,0
100.0,39.339,-83.605,127.49,-29.031,-18.355,21.387,21.387,40.086,5.9923,22.733,-67.23,-45.887,50.468,50.468,1.6591,-10.411,8.191,4.0748,-6.0021,-4.937,-4.937,2.9351,5.8192,-5.3066,1.6226,-7.3339,-3.8823,-3.8823,0.8,1,100,0
100.0,39.405,-84.021,127.81,-28.876,-18.608,21.197,21.197,40.207,6.2198,22.556,-67.208,-46.165,50.331,50.331,1.3072,-8.3162,6.46,3.0978,-5.0663,-3.8039,-3.8039,2.4197,4.5503,-3.5467,0.43645,-5.5507,-2.7274,-2.7274,0.8,1,100,0
100.0,39.457,-84.354,128.07,-28.746,-18.813,21.049,21.049,40.303,6.3906,22.433,-67.213,-46.368,50.234,50.234,1.055,-6.6585,5.2,2.6011,-4.0875,-2.9448,-2.9448,1.9192,3.4164,-2.4482,-0.10532,-4.0724,-1.9428,-1.9428,0.8,1,100,0
100.0,39.498,-84.621,128.28,-28.634,-18.976,20.934,20.934,40.379,6.5174,22.35,-67.234,-46.517,50.165,50.165,0.81436,-5.3383,4.2112,2.2423,-3.2618,-2.3027,-2.3027,1.5204,2.5372,-1.6744,-0.40571,-2.9726,-1.3834,-1.3834,0.8,1,100,0
100.0,39.529,-84.835,128.45,-28.536,-19.105,20.843,20.843,40.44,6.6112,22.293,-67.262,-46.625,50.116,50.116,0.61117,-4.2847,3.4197,1.9568,-2.5877,-1.8205,-1.8205,1.2097,1.8753,-1.1235,-0.57551,-2.1707,-0.97487,-0.97487,0.8,1,100,0
100.0,39.546,-84.996,128.6,-28.453,-19.214,20.771,20.771,40.496,6.6832,22.258,-67.296,-46.706,50.085,50.085,0.35114,-3.2262,2.8884,1.6665,-2.1856,-1.4375,-1.4375,1.1214,1.44,-0.71358,-0.68056,-1.6124,-0.6294,-0.6294,0.8,1,100,0
100.0,39.559,-85.12,128.71,-28.378,-19.303,20.712,20.712,40.541,6.7366,22.236,-67.332,-46.765,50.063,50.063,0.25757,-2.4886,2.3173,1.4918,-1.7638,-1.178,-1.178,0.90363,1.0683,-0.43252,-0.72072,-1.1829,-0.43023,-0.43023,0.8,1,100,0
100.0,39.57,-85.219,128.81,-28.31,-19.371,20.664,20.664,40.576,6.7755,22.224,-67.368,-46.808,50.049,50.049,0.21672,-1.9619,1.8447,1.3514,-1.3756,-0.97808,-0.97808,0.70194,0.77694,-0.24572,-0.71703,-0.86668,-0.28748,-0.28748,0.8,1,100,0
100.0,39.579,-85.296,128.88,-28.25,-19.425,20.623,20.623,40.605,6.8041,22.218,-67.403,-46.841,50.04,50.04,0.17431,-1.5386,1.4942,1.2133,-1.0673,-0.81392,-0.81392,0.57135,0.57224,-0.11167,-0.69586,-0.6434,-0.1741,-0.1741,0.8,1,100,0
100.0,39.586,-85.357,128.94,-28.195,-19.465,20.588,20.589,40.627,6.8247,22.217,-67.436,-46.865,50.036,50.036,0.14753,-1.2283,1.2027,1.0924,-0.8117,-0.68705,-0.68705,0.45305,0.41178,-0.025647,-0.66198,-0.48235,-0.09132,-0.09132,0.8,1,100,0
100.0,39.592,-85.406,128.99,-28.146,-19.496,20.559,20.559,40.646,6.8397,22.219,-67.467,-46.883,50.034,50.034,0.12048,-0.97508,0.98355,0.97952,-0.61427,-0.58197,-0.58197,0.37532,0.30078,0.035688,-0.62278,-0.36746,-0.028892,-0.028892,0.8,1,100,0
100.0,39.597,-85.451,129.03,-28.102,-19.518,20.533,20.533,40.656,6.8467,22.219,-67.496,-46.897,50.036,50.036,0.10641,-0.90036,0.74613,0.88635,-0.4304,-0.51998,-0.51998,0.18926,0.13893,0.0098013,-0.57428,-0.28489,0.028277,0.028277,0.8,1,100,0
100.0,39.601,-85.49,129.06,-28.063,-19.532,20.511,20.511,40.664,6.8513,22.221,-67.523,-46.909,50.039,50.039,0.068165,-0.7826,0.63521,0.78633,-0.2965,-0.43898,-0.43898,0.15989,0.093258,0.040469,-0.53153,-0.22424,0.061677,0.061677,0.8,1,100,0
100.0,39.602,-85.524,129.09,-28.027,-19.542,20.493,20.493,40.67,6.8544,22.224,-67.547,-46.917,50.043,50.043,0.033331,-0.67578,0.54368,0.70146,-0.20248,-0.37604,-0.37604,0.13688,0.061164,0.060037,-0.48836,-0.1784,0.081757,0.081757,0.8,1,100,0
100.0,39.603,-85.553,129.11,-27.996,-19.549,20.476,20.476,40.676,6.8563,22.228,-67.569,-46.925,50.047,50.047,0.0060789,-0.58111,0.46555,0.62933,-0.13534,-0.32529,-0.32529,0.11844,0.038215,0.071034,-0.44861,-0.14412,0.092208,0.092208,0.8,1,100,0
100.0,39.602,-85.578,129.13,-27.968,-19.554,20.462,20.462,40.681,6.8574,22.232,-67.59,-46.931,50.052,50.052,-0.013319,-0.49792,0.40107,0.5666,-0.086641,-0.28492,-0.28492,0.10259,0.022548,0.077113,-0.4094,-0.11768,0.097535,0.097535,0.8,1,100,0
100.0,39.601,-85.599,129.15,-27.942,-19.556,20.45,20.45,40.686,6.858,22.236,-67.609,-46.935,50.057,50.057,-0.026569,-0.42579,0.34588,0.5122,-0.050885,-0.25111,-0.25111,0.08968,0.011364,0.078172,-0.37347,-0.096989,0.098286,0.098286,0.8,1,100,0
100.0,39.599,-85.617,129.16,-27.919,-19.557,20.438,20.438,40.69,6.8582,22.239,-67.626,-46.939,50.062,50.062,-0.035585,-0.3635,0.29889,0.46363,-0.025408,-0.22253,-0.22253,0.07964,0.0042518,0.077249,-0.34096,-0.081552,0.096852,0.096852,0.8,0,100,0
100.0,39.597,-85.633,129.17,-27.898,-19.558,20.429,20.429,40.693,6.8581,22.243,-67.641,-46.943,50.067,50.067,-0.040845,-0.30982,0.259,0.42064,-0.0066936,-0.19869,-0.19869,0.069463,-0.0014343,0.074688,-0.3105,-0.069668,0.093642,0.093642,0.8,0,100,0
100.0,39.597,-85.635,129.18,-27.895,-19.558,20.427,20.427,40.694,6.8581,22.244,-67.643,-46.943,50.067,50.067,-0.0068985,-0.043713,0.040435,0.063145,-0.0001366,-0.029404,-0.029404,0.012636,-0.00084524,0.01168,-0.046309,-0.010518,0.015368,0.015368,0.8,0,100,0
100.0,39.597,-85.635,129.18,-27.894,-19.558,20.427,20.427,40.694,6.8581,22.244,-67.644,-46.944,50.067,50.067,-0.00040981,-0.0028687,0.0021857,0.0040298,-0.00010245,-0.0018783,-0.0018783,0.00075132,-0.00025613,0.00058057,-0.0028687,-0.00068302,0.00095623,0.00095623,0.8,0,100,0
